,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
3337,Advanced Motors and Drives - Central Region,https://labor.ny.gov/app/warn/details.asp?id=6460, 7/17/2018, 2018-0011, Karl Price, Plant Layoff," Advanced Motors and Drives6268 East Molloy RoadEast Syracuse, NY 13057", Onondaga , ONONDAGA , Central," Sheri Brown, Human Resources Manager", (330) 734-3600 Ext: 207," Manufacturers of custom, special purpose low-voltage wound field DC and AC traction and pump motors",51,74," Layoffs will occur within 14 days of the following dates: August 13, 2018 (4), September 14. 2018 (4), December 12, 2018 (11), March 14. 2019 (32).", -----, Economic, 27-3330722, The employees are not represented by a union., Plant Layoff,
3338,"DynaServ Industries, Inc. - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6183, 9/11/2017                                         Amended: 12/27/2017, 2017-0048, Stuart Goldberg, Plant Layoff,"      DynaServ Industries, Inc.5830 64th StreetMaspeth, NY 11378", Queens , NEW YORK CITY , New York City," Noemi Diaz, Human Resources Manager", (718) 416-0252 Ext: 6010, Specialized Services, 85 (7 affected workers notices have been rescinded),122," Four employees’ separations extended from the 14-day period starting on December 11, 2017 to the 14-day period starting on January 12, 2018.", -----, Loss of client contract, 11-2110991, IBEW Local 3, Plant Layoff,                                        Amended: 12/27/2017
3339,Invictus Preparatory Charter School - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6306, 3/30/2018, 2017-0309, Stuart Goldberg, Plant Closing," Invictus Preparatory Charter School 370 Fountain Avenue, 3rd Floor Brooklyn, NY 11208", Kings , NEW YORK CITY , New York City," Narobi Melendez, Little Bird Human Resources", (212) 786-7945, School,45,45, 6/30/2018, 6/30/2018, Economic, 47-5466716, The affected workers are not represented by a union., Plant Closing,
3340,"Fedcap Rehabilitation Services, Inc. (WeCARE Program) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6595, 10/24/2018, 2018-0155, Stuart Goldberg, Plant Closing," Fedcap Rehabilitation Services, Inc. (WeCARE Program) 80 Vandam Street, 7th Fl. Manhattan, NY 10013", New York , NEW YORK CITY , New York City," Devon Bryan, Director, Human Resources", (212) 727-4345, Provides assistance to clients with medical and/or mental health barriers to employment by providing customized assistance and services to help them achieve their highest levels of self-sufficiency.,107, (491 total affected employees), 1/31/2019, 1/31/2019," Contract with the City of New York expiring on January 31, 2019.", 13-5645879, The employees are not represented by a union., Plant Closing,
3341,Newsday LLC - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=6240, 2/15/2018, 2017-0245, Frederick Danks, Plant Unit Closing,"      Newsday LLC235 Pinelawn RoadMelville, NY 11747", Suffolk , SUFFOLK , Long Island," Donna Cesarani, Director, Human Resources", (631) 843-2654, Newspaper print and distribution,51,"1,431", This phase 2 employee separations is expected to occur during the 14-day period starting on 5/21/2018., October 2018, Economic, 26-2913173," The affected workers are not represented by a union. Local 406, Graphic Communications Conference, International Brotherhood of Teamsters", Plant Unit Closing,
3342,Aptos Inc. - Mid-Hudson Region,https://labor.ny.gov/app/warn/details.asp?id=6289, 3/28/2018, 2017-0280, Rossy Mateo, Plant Closing,"      Aptos Inc.15 Governor DriveNewburgh, NY 12550", Orange , ORANGE , Mid-Hudson Region," Lisa Rogers, People Business Partner", (845) 926-4226, Software developers,11,117," This first wave of separations is expected to commence during the 14-day period starting on June 27, 2018.", TBD, Economic, 14-1624962, The affected workers are not represented by a union., Plant Closing,
3343,"Toys R Us- Delaware, Inc. dba Toys R Us and Babies R Us (Store #6333 Queens) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6254, 1/26/2018                                Amended: 3/1/2018, 2017-0232, Stuart Goldberg, Plant Closing,"      Toys R Us- Delaware, Inc. dba Toys R Us and Babies R Us (Store #6333 Queens)66-26 Metropolitan AvenueQueens, NY 11379", Queens , NEW YORK CITY , New York City," Anna Scretching, Assistant Human Resources Manager", (973) 617-4575, Retail,60,60," Employees will be separated from the Company effective April 26, 2018.", 4/11/2018, Economic, 13-5159250, The affected workers are not represented by a union., Plant Closing,                               Amended: 3/1/2018
3344,"Sears, Roebuck and Co. Full Line Store #06424 - Mid-Hudson Region",https://labor.ny.gov/app/warn/details.asp?id=6581, 10/15/2018, 2018-0140, Sherry Young, Plant Closing," Sears, Roebuck and Co. Auto Center Store #06424 100 W RT 59Nanuet, NY 10954", Rockland , ROCKLAND , Mid-Hudson," Aimee Grabau, HR DVP", (847) 286-1427, Retail Store,12,12," Employment separations will occur on January 31, 2019 or during a 14-day period beginning on that date.", 1/31/2019, Economic, 36-1750680, The employees are not represented by a union., Plant Closing,
3345,The Research Foundation for the State University of New York - Western Region / Capital Region / New York City Region / Central Region,https://labor.ny.gov/app/warn/details.asp?id=6548, 9/28/2018, 2018-0102," Michele Taylor, Jacqueline Huertas, Stuart Goldberg, Karl Price, Regenna Darrah", Plant Layoff," The Research Foundation for the State University of New York Buffalo State Campus1300 Elmwood AvenueBuffalo, NY 14222", Erie , ONONDAGA , Central," Christine Goff, HR Coordinator", (716) 878-4091, Education research,6, 74 (total affected employees at all sites), 12/31/2018, -----, Loss of contract, 14-1368361, The employees are not represented by a union., Plant Layoff,
3346,"Baumann & Sons Buses, Inc., ACME Bus Corp., and Brookset Bus Corp. - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6312, 3/30/2018                                        Amendment: 4/9/2018, 2017-0305, Frederick Danks, Plant Layoff,"Baumann & Sons Buses, Inc., ACME Bus Corp., and Brookset Bus Corp.", Suffolk , SUFFOLK , Long Island," Wendy Sidman, Human Resources", (631) 471-4600, Bus services,7, 141 (Total affected employees for both sites), Separations will occur on 6/30/2018 or during a 14-day period commencing on that date., -----, Loss of contract to provide school bus service for Eastern Suffolk BOCES, 80-0969631," Baumann & Sons Buses, Inc. and ACME Bus Corp. are represented by the Teamsters Local 1205. Brookset Bus Corp. is represented by the International Union of Journey & Allied Trades (IUJAT) Local 726.", Plant Layoff,                                       Amendment: 4/9/2018
3347,DJDatARLOnomad LLC dba Massoni (at Arlo NOMAD) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6638, 12/20/2018, 2018-0207, Stuart Goldberg, Plant Closing,"      DJDatARLOnomad LLC dba Massoni (at Arlo NOMAD) 11 East 31st Street New York, NY 10016", New York , NEW YORK CITY , New York City," David Massoni, Operator", (917) 509-2925, Restaurant,51,51, 1/31/2019, 1/31/2019," Termination of management agreement by the hotel, Arlo NOMAD", 65-0121767, The employees are not represented by a union., Plant Closing,
3348,Sterling National Bank  - Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=6368, 5/7/2018, 2017-0365, Frederick Danks, Plant Closing," Sterling National Bank 718 Medford AvenuePatchogue, NY 11172", Suffolk , SUFFOLK , Long Island," Gary Zimbalatti, First Vice President, Director HR Business Partners", (516) 327-7624, Financial Institution,1,8, 8/7/2018, To be determined, Acquisition of Astoria Bank by Sterling National, 13-1726107, The employees are not represented by a union., Plant Closing,
3349,Barclays Services Corp. (Chief Operating Office teams) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=6642, 11/28/2018                            Amended: 12/19/2018, 2018-0187, Stuart Goldberg, Plant Layoff,"      Barclays Services Corp.(Chief Operating Office teams)745 Seventh Avenue New York, NY 10019", New York , NEW YORK CITY , New York City," Linda Fox, Director, Employee Relations", (212) 526-5862, Investment bank,64,"5,242"," The second wave of separations are scheduled to begin on February 27, 2019 and be completed by March 31, 2019.", -----," Relocating a number of the Chief Operating Office teams to Whippany, NJ", 13-3714398, The employees are not represented by a union., Plant Layoff,                           Amended: 12/19/2018
3350,"Pfizer, Inc. - North Country Region",https://labor.ny.gov/app/warn/details.asp?id=6197, 1/12/2018, 2017-0211, Stacey Fuller, Plant Closing,"      Pfizer, Inc.64 Maple StreetRouses Point, NY 12979", Clinton , C-E-F-H , North Country Region," Daniel Naiman, Sr. Director, Human Resources", (212) 733-2110, Pharmaceuticals (production),8,107, 4/13/2018, 3/31/2018, Economic, 13-0430890, International Chemical Workers Local 95c, Plant Closing,
3351,"Catholic Charities Neighborhood Services, Inc. (Hillcrest Senior Center) - New York City",https://labor.ny.gov/app/warn/details.asp?id=6474, 8/3/2018, 2018-0024, Stuart Goldberg, Plant Closing," Catholic Charities Neighborhood Services, Inc. (Hillcrest Senior Center) 168-0IB Hillside Ave. Jamaica, NY 11432", Queens , NEW YORK CITY , New York City," Jacqueline Gibbons, Senior Vice President of Human Resources", (718) 722-6181, Social services organization,3,3, 11/1/2018, 11/1/2018, Contract Loss, 11-2047151, The employees are not represented by a union., Plant Closing,
3352,Hebeler LLC - Western Region,https://labor.ny.gov/app/warn/details.asp?id=6532, 6/28/2018                                Amended: 9/19/2018, 2017-0422, Michele Taylor, Plant Layoff," Hebeler LLC2000 Military RoadTonawanda, NY 14150", Erie , ERIE , Western," Angela Nelson, Director of People", (716) 332-4714, Machinery Manufacturer,20,92, Two (2) separations will occur during the 14-day period starting on 9/26/2018. Eighteen (18) separations have been postponed from the 14-day period starting on 9/26/2018 to the 14-day period starting on 10/26/2018. Notices for 20 employees have been rescinded., -----, Decline in business with major customer, 47-1578362, The employees are not represented by a union., Plant Layoff,                               Amended: 9/19/2018
3353,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6278, 3/15/2018, 2017-0269, Frederick Danks, Plant Closing,"Toys ""R"" Us, Inc., dba Toys ""R"" Us and/or Babies ""R"" Us 117 Old Country Road Carle Place, NY 11514", Nassau , OYSTER BAY , Long Island," Kara Sabino, Vice President", (973) 617-5293," Hobby, Toy and Game Store",70,70, 6/13/2018, 6/13/2018, Economic, 13-5159250, The affected workers are not represented by a union., Plant Closing,
3354,"Sykes Enterprises, Incorporated (Amherst) - Western Region",https://labor.ny.gov/app/warn/details.asp?id=6202, 1/15/2018, 2017-0214, Michele Taylor, Plant Closing," Sykes Enterprises, Incorporated (Amherst) 251 John James Audubon Pkwy Amherst, NY 14228", Erie , ERIE , Western Region," Billi Peltz, Director, Area HR Service Delivery", (701) 425-7794, Customer contact management solutions and services,89,89, 3/31/2018, 3/31/2018, Economic, 56-1383460, The affected workers are not represented by a union., Plant Closing,
3355,"Pfizer, Inc. - North Country Region",https://labor.ny.gov/app/warn/details.asp?id=6344, 4/24/2018, 2017-0348, Melissa Baretsky, Plant Closing,"      Pfizer, Inc.64 Maple StreetRouses Point, NY 12979", Clinton , C-E-F-H , North Country Region," Daniel Naiman, Sr. Director, Human Resources", (212) 733-2110, Pharmaceuticals (production),5,59," The separation will occur July 20, 2018.", 6/1/2018, Economic, 13-0430890, Local 95c ICWU/UFCW, Plant Closing,
3356,"Shiel Holdings, LLC (Shiel Medical Laboratory (a division of Fresenius Medical Care, NA) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6172, 9/27/2017                                        Amendment: 1/2/2018, 2017-0085, Stuart Goldberg, Plant Closing,"  Shiel Holdings, LLC (Shiel Medical Laboratory (a division of Fresenius Medical Care, NA) Brooklyn Navy Yard, Building 292 63 Flushing Avenue Brooklyn, NY 11205", Kings , NEW YORK CITY , New York City," Sheryl Morgan, Director, Human Resources", (201) 767-7070 Ext. 5845, Medical Laboratory, 239 (208 affected workers at 63 Flusing Ave. site; 31 affected workers at the other NY locations),239," 12/31/2017 (Separations for an additional five affected workers postponed from December 31, 2017 to January 31, 2018.)", 12/31/2017, Economic, 46-3809062, The affected workers are not represented by a Union., Plant Closing,                                       Amendment: 1/2/2018
3357,"Floyd Bus Co., Inc. - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=6491, 8/15/2018, 2018-0039, Frederick Danks, Plant Layoff," Floyd Bus Co., Inc. 3 Grucci Lane Brookhaven, NY 11719", Suffolk , SUFFOLK , Long Island," Jennifer Thomas, Vice President", (631) 345-9600, Transportation,276,276, 8/22/2018, -----, Loss of contract within William Floyd School District., -----, Transport Workers of America (TWU) Local 252, Plant Layoff,
3358,"Compass Group, USA, Inc. (Restaurant Associates @ Credit Suisse) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=6458, 7/12/2018, 2018-0009, Stuart Goldberg, Plant Closing," Compass Group, USA, Inc.(Restaurant Associates @ Credit Suisse)11 Madison AvenueNew York, NY 10010", New York , NEW YORK CITY , New York City," Pat Sharp, Vice President of Operation", (347) 758-2694, Food services provider,84,84, 9/11/2018, 9/11/2018, Non-renewal of contract to provide food services at Credit Suisse., 56-1874931," UNITE HERE, Local 100", Plant Closing,
3359,Sitel Operating Corporation (Painted Post) - Southern Region,https://labor.ny.gov/app/warn/details.asp?id=6485, 7/10/2018              Amended: 8/13/2018, 2018-0004, Vikki Kaufman, Plant Unit Closing," Sitel Operating Corporation (Painted Post)101 Canada RoadPainted Post, NY 14870", Steuben , CSS , Southern," Kendra Southard-Austin, HR Business Partner", (607) 936-5721," Business process outsourcing company, provides telephone call center services",152,152," The last day of business will be extended from October 21 to November 30, 2018."," November 30, 2018.", Departure of a client campaign, 16-1364816, The employees are not represented by a union., Plant Unit Closing,             Amended: 8/13/2018
